entry,at,order
"The player ""Hovz @ HXcCbLW4VE"" stand up with the stack of 154.75.",2023-08-22T05:56:16.890Z,169268377689000
"The player ""Douglas @ dH7QCutUI5"" stand up with the stack of 247.55.",2023-08-22T05:56:10.055Z,169268377005500
"-- ending hand #338 --",2023-08-22T05:56:07.129Z,169268376712902
"""Hovz @ HXcCbLW4VE"" collected 1.00 from pot",2023-08-22T05:56:07.129Z,169268376712901
"Uncalled bet of 0.50 returned to ""Hovz @ HXcCbLW4VE""",2023-08-22T05:56:07.129Z,169268376712900
"""Douglas @ dH7QCutUI5"" folds",2023-08-22T05:56:06.300Z,169268376630000
"""Hovz @ HXcCbLW4VE"" posts a big blind of 1.00",2023-08-22T05:56:03.861Z,169268376386106
"""Douglas @ dH7QCutUI5"" posts a small blind of 0.50",2023-08-22T05:56:03.861Z,169268376386105
"Your hand is 2♠, 7♣",2023-08-22T05:56:03.861Z,169268376386104
"Player stacks: #2 ""Hovz @ HXcCbLW4VE"" (154.25) | #7 ""Douglas @ dH7QCutUI5"" (248.05)",2023-08-22T05:56:03.861Z,169268376386102
"-- starting hand #338 (id: 8zkxrolfvwyv)  (No Limit Texas Hold'em) (dealer: ""Douglas @ dH7QCutUI5"") --",2023-08-22T05:56:03.861Z,169268376386101
"The player ""Actionjackson @ 0OGSYDkE-B"" quits the game with a stack of 173.60.",2023-08-22T05:56:03.861Z,169268376386100
"-- ending hand #337 --",2023-08-22T05:56:00.919Z,169268376091902
"""Hovz @ HXcCbLW4VE"" collected 1.00 from pot",2023-08-22T05:56:00.919Z,169268376091901
"Uncalled bet of 0.50 returned to ""Hovz @ HXcCbLW4VE""",2023-08-22T05:56:00.919Z,169268376091900
"""Douglas @ dH7QCutUI5"" folds",2023-08-22T05:56:00.066Z,169268376006600
"""Actionjackson @ 0OGSYDkE-B"" folds",2023-08-22T05:55:59.119Z,169268375911900
"""Hovz @ HXcCbLW4VE"" posts a big blind of 1.00",2023-08-22T05:55:56.723Z,169268375672306
"""Douglas @ dH7QCutUI5"" posts a small blind of 0.50",2023-08-22T05:55:56.723Z,169268375672305
"Your hand is 5♠, 4♥",2023-08-22T05:55:56.723Z,169268375672304
"Player stacks: #2 ""Hovz @ HXcCbLW4VE"" (153.75) | #4 ""Actionjackson @ 0OGSYDkE-B"" (173.60) | #7 ""Douglas @ dH7QCutUI5"" (248.55)",2023-08-22T05:55:56.723Z,169268375672301
"-- starting hand #337 (id: msvrcegaowll)  (No Limit Texas Hold'em) (dealer: ""Actionjackson @ 0OGSYDkE-B"") --",2023-08-22T05:55:56.723Z,169268375672300
"""Actionjackson @ 0OGSYDkE-B"" shows a A♦, Q♣.",2023-08-22T05:55:54.242Z,169268375424200
"-- ending hand #336 --",2023-08-22T05:55:53.113Z,169268375311302
"""Douglas @ dH7QCutUI5"" collected 107.00 from pot",2023-08-22T05:55:53.113Z,169268375311301
"Uncalled bet of 40.00 returned to ""Douglas @ dH7QCutUI5""",2023-08-22T05:55:53.113Z,169268375311300
"""Actionjackson @ 0OGSYDkE-B"" folds",2023-08-22T05:55:52.243Z,169268375224300
"""Douglas @ dH7QCutUI5"" bets 40.00",2023-08-22T05:55:42.476Z,169268374247600
"""Actionjackson @ 0OGSYDkE-B"" checks",2023-08-22T05:55:36.796Z,169268373679600
"Turn: Q♠, 4♥, 4♣ [K♥]",2023-08-22T05:55:34.326Z,169268373432600
"""Douglas @ dH7QCutUI5"" calls 25.00",2023-08-22T05:55:33.503Z,169268373350300
"""Actionjackson @ 0OGSYDkE-B"" bets 25.00",2023-08-22T05:55:28.454Z,169268372845400
"Flop:  [Q♠, 4♥, 4♣]",2023-08-22T05:55:18.089Z,169268371808900
